Ritalin,hiking,BeachBody OnDemand,physical therapy,snuggles,Cyclizine,new environment,Dehydrated,had sex,Florinef,slept not alone,had sex last night,BLT,singing,ate breakfast,Solifenacin,Darifenacin,Probiotic,digestive enzyme,travel,Ribose,Monteluklast,slept lots,Socialising,Ate too late,Feverfew,Carbomer eye drops,woke up late,alverine,dairy,holiday,slept late,Piyo,exercise,A little stressed,shopping,SAM-E,very active aqua class,Superlong nap,Cider,TigerBalm,Rather bad sleep,busy,scary new shit,Social,worked,Friends,day at home,Cetraben cream,caught pokemon,Much sex,long shopping  trip,Cinema,Guarana & Ginseng,studied,went to bed too late,Ginger,Work hard,Hydrocortisone,Vitamin b12,walked,Cerelle,Passionflower,Singing,row
1.21519585901,2.0,2.0,2.0,2.0,0.952534403897,,0.0,,2.0,0.0,0.0,,2.0,1.24431474332,0.0957388868919,2.0,1.38639604276,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.44095214351,0.0,2.0,2.0,1.06579434669,2.0,,2.0,0.0,0.0,,2.0,2.0,0.0,2.0,2.0,,1.99399892481,1.90403925122,0.0,2.0,0.0,2.0,0.0,,0.0,2.0,0.0,2.0,,0.0,2.0,0.0,2.0,1.38639604276,2.0,2.0,1.38639604276,2.0,shopping
0.0,,,,,0.0,,2.0,,,2.0,2.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,2.0,,2.0,,,2.0,0.0,,,0.0,0.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,0.0,,2.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,SAM-E
0.0,0.0,0.0,0.0,0.0,2.0,,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,,,,0.0,,0.0,,2.0,,,0.0,,2.0,2.0,,,,,0.0,,0.0,2.0,,,,0.0,,,,0.0,,,,,,,0.0,0.0,,,0.0,,very active aqua class
2.0,0.0,,,,2.0,,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,,2.0,2.0,2.0,,,0.0,,0.0,2.0,,,2.0,,,2.0,2.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,2.0,,0.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,Superlong nap
0.0,,,,,0.0,,2.0,,,2.0,2.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,2.0,,2.0,0.0,,2.0,,,,0.0,0.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,0.0,,2.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,Cider
0.0,0.0,0.0,0.0,0.0,2.0,,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,,,,0.0,,0.0,,2.0,,,0.0,,2.0,2.0,,0.0,,,,,0.0,2.0,,,,0.0,,,,0.0,,,,,,,0.0,0.0,,,0.0,,TigerBalm
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rather bad sleep
0.892922484779,0.0,0.0,0.0,0.0,0.937914205986,,2.0,,0.0,2.0,2.0,,0.0,0.863226298293,1.94554183841,0.0,0.716816605975,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.659874775498,2.0,0.0,0.0,0.825447673848,0.0,,0.0,2.0,2.0,1.99399892481,0.0,0.0,2.0,0.0,0.0,,,0.0546273286332,2.0,0.0,2.0,0.0,2.0,,2.0,0.0,2.0,0.0,,2.0,0.0,2.0,0.0,0.716816605975,0.0,0.0,0.716816605975,0.0,busy
1.22288919507,2.0,2.0,2.0,2.0,0.615943101665,,2.0,,2.0,2.0,2.0,,0.0,1.19362589843,1.99999986515,0.0,1.04493352934,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.985010922592,2.0,2.0,0.0,0.513996073699,0.0,,2.0,2.0,0.0,1.90403925122,0.0,2.0,2.0,0.0,2.0,,0.0546273286332,,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,,2.0,0.0,2.0,2.0,1.04493352934,0.0,0.0,1.04493352934,0.0,scary new shit
2.0,,,,,2.0,,0.0,,,0.0,0.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,,2.0,2.0,2.0,,,0.0,,0.0,2.0,,0.0,2.0,,,2.0,2.0,,2.0,0.0,,0.0,,0.0,,0.0,2.0,,0.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,Social
