Alcohol,physical therapy,Caffeine,Sunlight,Synthroid,Aromatherapy,Albuterol Inhaler,Ambien CR,rebounding,Acupuncture,birth control,Magnesium glycinate,5-htp,Nasonex,Claritin,tumeric extract,Strattera,Low oxalate,Zofran,Hydroxyzine,Allergy Shots,eye ointment,gluten free,meds,Snooze,Famotidine,DEHA,Vitamin b complex,Veggies,Benadryl,Methylcobalamine,Ranitidine,strapping of shoulder,Trigger Points,therapy session,Tylenol 3,Astelin,Calcium citrate,Vitamin C,heating pads,Norco,Tavegyl,catheter,THC,Turmeric,Allegra,Klonopin,Cetirizine,Goth clubbing,CBD,Singulair,Fish oil,Snacks,stool softener,Rest,CoQ10,Vitamin b12,Cannabis,Post-op ice device,Zinc,Vitamin d,Ice pack,Melatonin,LUSH acne spot-treatment,massage,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catheter
0.0,0.0,,2.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,THC
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,Turmeric
0.0,0.0,,2.0,0.0,,,0.0,,0.0,0.0,0.000475121594913,0.000475121594913,0.000475121594913,0.000475121594913,2.0,2.22044604925e-16,,0.0,0.0,0.0,0.0,,0.0,,0.000475121594913,,0.000475121594913,,,,,0.0,,0.0,,0.000475121594913,,0.000475121594913,0.0,0.0,,,0.0,,,0.0646170079613,,0.0,0.0,0.000475121594913,0.00807361153314,,0.0,0.0,0.0,0.00807361153314,,0.0,0.000475121594913,0.000475121594913,0.0,0.000475121594913,,,Allegra
0.0,0.0,,2.0,0.0,,,0.0,,0.0,0.0,0.0541615246079,0.0541615246079,0.0541615246079,0.0541615246079,2.0,0.0646170079613,,0.0,0.0,0.0,0.0,,0.0,,0.0541615246079,,0.0541615246079,,,,,0.0,,0.0,,0.0541615246079,,0.0541615246079,0.0,0.0,,,0.0,,0.0646170079613,,,0.0,0.0,0.0541615246079,0.027322540994,,0.0,0.0,0.0,0.027322540994,,0.0,0.0541615246079,0.0541615246079,0.0,0.0541615246079,,,Klonopin
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,Cetirizine
,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,,,Goth clubbing
0.0,0.0,,2.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,CBD
0.0,0.0,,2.0,0.0,,,0.0,,0.0,0.0,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,2.0,0.000475121594913,,0.0,0.0,0.0,0.0,,0.0,,-2.22044604925e-16,,-2.22044604925e-16,,,,,0.0,,0.0,,-2.22044604925e-16,,-2.22044604925e-16,0.0,0.0,,,0.0,,0.000475121594913,0.0541615246079,,0.0,0.0,,0.00463616100529,,0.0,0.0,0.0,0.00463616100529,,0.0,-2.22044604925e-16,-2.22044604925e-16,0.0,-2.22044604925e-16,,,Singulair
0.0,0.0,,2.0,0.0,,,0.0,,0.0,0.0,0.00463616100529,0.00463616100529,0.00463616100529,0.00463616100529,2.0,0.00807361153314,,0.0,0.0,0.0,0.0,,0.0,,0.00463616100529,,0.00463616100529,,,,,0.0,,0.0,,0.00463616100529,,0.00463616100529,0.0,0.0,,,0.0,,0.00807361153314,0.027322540994,,0.0,0.0,0.00463616100529,,,0.0,0.0,0.0,-2.22044604925e-16,,0.0,0.00463616100529,0.00463616100529,0.0,0.00463616100529,,,Fish oil
,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Snacks
0.0,0.0,,2.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,stool softener
0.0,0.0,,2.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,Rest
,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,,CoQ10
0.0,0.0,0.0,2.0,0.0,,,0.0,,0.0,0.0,0.00463616100529,0.00463616100529,0.00463616100529,0.00463616100529,2.0,0.00807361153314,,0.0,0.0,0.0,0.0,,0.0,0.0,0.00463616100529,,0.00463616100529,0.0,,,,0.0,,0.0,,0.00463616100529,,0.00463616100529,0.0,0.0,,,0.0,,0.00807361153314,0.027322540994,,0.0,0.0,0.00463616100529,-2.22044604925e-16,0.0,0.0,0.0,0.0,,,0.0,0.00463616100529,0.00463616100529,0.0,0.00463616100529,,,Vitamin b12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cannabis
0.0,0.0,,2.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,Post-op ice device
0.0,0.0,,2.0,0.0,,,0.0,,0.0,0.0,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,2.0,0.000475121594913,,0.0,0.0,0.0,0.0,,0.0,,-2.22044604925e-16,,-2.22044604925e-16,,,,,0.0,,0.0,,-2.22044604925e-16,,-2.22044604925e-16,0.0,0.0,,,0.0,,0.000475121594913,0.0541615246079,,0.0,0.0,-2.22044604925e-16,0.00463616100529,,0.0,0.0,0.0,0.00463616100529,,0.0,,-2.22044604925e-16,0.0,-2.22044604925e-16,,,Zinc
0.0,0.0,,2.0,0.0,,0.0,0.0,,0.0,0.0,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,2.0,0.000475121594913,,0.0,0.0,0.0,0.0,,0.0,,-2.22044604925e-16,,-2.22044604925e-16,,0.0,,0.0,0.0,,0.0,,-2.22044604925e-16,0.0,0.0162071993394,0.0,0.0,,,0.0,0.0,0.000475121594913,0.0541615246079,0.0,0.0,0.0,-2.22044604925e-16,0.00463616100529,,0.0,0.0,0.0,0.00463616100529,,0.0,-2.22044604925e-16,,0.0,-2.22044604925e-16,,,Vitamin d
0.0,0.0,,2.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,Ice pack
0.0,0.0,,2.0,0.0,,,0.0,,0.0,0.0,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,2.0,0.000475121594913,,0.0,0.0,0.0,0.0,,0.0,,-2.22044604925e-16,,-2.22044604925e-16,,,,,0.0,,0.0,,-2.22044604925e-16,,-2.22044604925e-16,0.0,0.0,,,0.0,,0.000475121594913,0.0541615246079,,0.0,0.0,-2.22044604925e-16,0.00463616100529,,0.0,0.0,0.0,0.00463616100529,,0.0,-2.22044604925e-16,-2.22044604925e-16,0.0,,,,Melatonin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LUSH acne spot-treatment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,massage
