Triamcinolone,didn't really eat lunch,studied,Ritalin,hiking,allergy shot,Social,Cyclizine,hot,Caffeine,made challah,vacation,Dehydrated,walked,slept not alone,slept lots,Work hard,singing,worked,ate breakfast,Solifenacin,Socialising,tumblr,Darifenacin,Probiotic,good breakfast,travel,cooking,Ribose,Monteluklast,gluten ,sugar,vitamin D tablets,Ate too late,Feverfew,Carbomer eye drops,woke up late,alverine,dairy,holiday,Friends,had sex last night,exercise,long sleep,gaming,shopping,gluten,SAM-E,sitting,Cider,Superlong nap,coursera,scary new shit,marijuana,weekend shopping,went to bed too late,busy,day after weights,House cleaning,Amitryptiline,bunny cuddles,got stuff done,ramen,Breakfast,Cetraben cream,church,heavy lifting,slept in,salad,healthy dinner,Guarana & Ginseng,restaurant,Ginger,Much sex,shower,cooked,Vitamin b12,Cabergoline,magnesium ionic,Cerelle,Meditation,Passionflower,Singing,Trip,Cinema,row
,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,gluten
,,,0.0,,,0.0,0.0,,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,,,,,,,,0.0,2.0,,2.0,,,2.0,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,SAM-E
2.0,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,sitting
,,,0.0,,,0.0,0.0,,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,,,,,,0.0,,,2.0,,2.0,,,2.0,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,Cider
,,,2.0,0.0,0.0,2.0,2.0,,,,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0658531726364,,2.0,,2.0,2.0,,0.0,,2.0,2.0,,,,2.0,2.0,2.0,,2.0,0.0102567593043,0.0,2.0,0.0,,,,,,2.0,,2.0,,,0.0,0.0,,0.0,2.0,,,,,,,,2.0,,,,0.0,,2.0,,2.0,2.0,,,2.0,,,2.0,,2.0,2.0,,2.0,Superlong nap
,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,coursera
,,,2.0,,,2.0,2.0,,,,,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,,2.0,,2.0,2.0,,0.0,,2.0,2.0,,,,2.0,2.0,2.0,,2.0,0.0,0.0,2.0,0.0,,,,,,2.0,,2.0,0.0,,,,,0.0,2.0,,,,,,,,2.0,,,,,,2.0,,2.0,2.0,,,2.0,,,2.0,,2.0,2.0,,2.0,scary new shit
,,,,0.0,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,marijuana
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,weekend shopping
,,,2.0,,,2.0,2.0,,,,,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,,2.0,,2.0,2.0,,0.0,,2.0,2.0,,,,2.0,2.0,2.0,,2.0,0.0,0.0,2.0,0.0,,,,,,2.0,,2.0,0.0,,0.0,,,,2.0,,,,,,,,2.0,,,,,,2.0,,2.0,2.0,,,2.0,,,2.0,,2.0,2.0,,2.0,went to bed too late
