,,,,,0.0,,,,,,2.0,,,0.0,,,,0.0,,,,,2.0,,,,,,,,,,,,0.0,2.0,,0.0,,,,,0.0,,,,,,,,,2.0,,0.0,2.0,,,,0.0,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,2.0,0.0,,2.0,,Aspirin
,,,2.0,0.0,,,,,,2.0,2.0,,,0.0,0.0,,,0.0,,,,,2.0,,,,,,,,,,,2.0,0.0,2.0,,0.0,,,0.0,,0.0,,,,,,,,,2.0,,0.0,2.0,,,,0.0,0.0,2.0,,,0.0,,,,,,,0.0,2.0,2.0,0.0,,,,,,,,,,2.0,,,0.0,,,,0.0,2.0,,2.0,2.0,2.0,,,,,,0.0,2.0,,,,0.0,,,,2.0,0.0,,2.0,,dairy
0.0,,,,,,,0.0,2.0,,,,2.0,0.0,,,0.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,,0.0,2.0,,0.0,,0.0,2.0,0.0,2.0,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,2.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,2.0,,,0.0,,,,2.0,0.0,,2.0,0.0,0.0,,,0.0,,,Hydroxyzine
,,,,,,2.0,2.0,,2.0,,,2.0,,,,2.0,2.0,,2.0,2.0,,,,2.0,0.0,,2.0,2.0,,,,2.0,,,,,2.0,,2.0,0.0,,0.0,,,,2.0,,2.0,2.0,,,,,,,2.0,0.0,0.0,,,,2.0,2.0,,2.0,2.0,,0.0,2.0,,,,,,,0.0,2.0,,,2.0,,2.0,2.0,,,,0.0,2.0,2.0,2.0,,,,,,,,2.0,,2.0,2.0,,,2.0,,2.0,0.0,,,,,,2.0,,,Synthroid
,,,,,,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,,0.0,0.0,,,,0.0,2.0,,0.0,0.0,,,2.0,,,,,,0.0,,0.0,2.0,,2.0,,,,0.0,,0.0,0.0,,,,,,,0.0,2.0,2.0,,,,0.0,0.0,,0.0,0.0,,2.0,0.0,,,,,,,2.0,0.0,,,0.0,,0.0,0.0,,,,2.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,2.0,,,,,,0.0,,,12 hours sleep
0.0,,,,,,,0.0,2.0,,,,2.0,0.0,,,0.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2.0,,0.0,,0.0,2.0,0.0,2.0,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,2.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,2.0,,,0.0,,,,2.0,0.0,,2.0,0.0,0.0,,,0.0,,,meds
,,,0.0,,2.0,,,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,0.0,0.0,2.0,,,,,,,,,,,,,,,,,2.0,0.0,,0.0,0.0,,,,,,,2.0,,,,,2.0,,,,,,,,,exercise
,,,,0.0,0.0,,,,,,2.0,,,0.0,,,,0.0,,,,,2.0,,,,,,,,,,,,,2.0,,0.0,,,,,0.0,,,,,,,,,2.0,,0.0,2.0,,,,0.0,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,2.0,0.0,,2.0,,Slept well
,,,,2.0,2.0,,,,,,0.0,,,2.0,,,,2.0,,,,,0.0,,,,,,,,,,,,2.0,,,2.0,,,,,2.0,,,,,,,,,0.0,,2.0,0.0,,,,2.0,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,2.0,,0.0,,over ate
0.0,,,,,,0.0,0.0,2.0,0.0,,,0.978903501476,0.0,,,0.00260367374404,0.0,,0.00178328518438,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.00260367374404,0.0,0.0,2.0,0.0,0.0,,,,,,0.0,1.98752948717,,0.428571865587,,0.0,2.0,0.00178328518438,2.0,0.0,0.0,,,,0.0,,,0.0,2.0,1.07218762745,,,,0.0,0.0,,0.0,0.0,,2.0,0.0,,,,,,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,,,0.0,,,,,1.80077029601,,0.0,0.0,,,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,,Vitamin C
,,,,0.0,0.0,,,,,,2.0,,,0.0,,,,0.0,,,,,2.0,,,,,,,,,,,,0.0,2.0,,,,,,,0.0,,,,,,,,,2.0,,0.0,2.0,,,,0.0,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,2.0,0.0,,2.0,,listen to music 
0.0,,,,,,0.0,0.0,2.0,0.0,,,0.978903501476,0.0,,,0.00260367374404,0.0,,0.00178328518438,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.00260367374404,0.0,0.0,2.0,0.0,0.0,,,,0.0,,,1.98752948717,,0.428571865587,,0.0,2.0,0.00178328518438,2.0,0.0,0.0,,,,0.0,,,0.0,2.0,1.07218762745,,,,0.0,0.0,,0.0,0.0,,2.0,0.0,,,,,,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,,,0.0,,,,,1.80077029601,,0.0,0.0,,,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,,Melatonin
