Wear shoulder brace,didn't really eat lunch,napped well,grapes,Buteyko  breathing exercises ,More stretching,allergy shot,fast food,3 drinks,marijuana,Protecting back,had sex,walked,Lying flat,Miralax low dose at night,Woke Up With Alarm,drank alcohol,breakfast,Better sleep,fuck yeah avocado,took a bath ,ate breakfast,haircut,washing up,busy,cooked breakfast,Zofran,Hydroxyzine,vacation,gluten free,bed day,nap,dairy,dairy free,party,Ambien CR,banana,exercise,ate red meat,cuddled kitten,Oxynorm,Slept well,gluten,coconut,Weighted Blanket,Superlong nap,read science book,had sex ,blowjob,listen to music ,heating pads,Norco,very little sleep,heavy physcial exertion,Late lunch,mass transit,read book,grains,Freezie wrap,didn't eat breakfast,no breakfast,ate grains,studied,cuddles!,Awesome cheat day,had sex last night,12K Steps,new environment,bed late,butternut squash risotto,Poor sleep (hotel),cocodamol,ate at a restaurant,drawing,short nap,row
,0.0,,,,,,0.0,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,0.0,,2.0,0.0,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,banana
2.0,,2.0,,,2.0,,,2.0,,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,,,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,0.0,2.0,0.0,,2.0,,,,,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,,,2.0,,2.0,,2.0,,,,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,exercise
,,,,2.0,,0.0,,,0.0,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,ate red meat
2.0,,2.0,,,2.0,,,2.0,,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,,,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,,,2.0,0.0,,2.0,,,,,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,,,2.0,,2.0,,2.0,,,,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,cuddled kitten
0.0,,0.0,,,0.0,,,0.0,,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,2.0,,2.0,,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,Oxynorm
2.0,,2.0,,,2.0,,,2.0,,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,,,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,,0.0,2.0,,,2.0,,,,,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,,,2.0,,2.0,,2.0,,,,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,Slept well
,0.0,,,,,,0.0,,,,,,,,,,0.0,,,0.0,0.0778056181715,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,2.0,0.0,0.0,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,gluten
0.0,,0.0,,,0.0,,,0.0,,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,2.0,0.0,2.0,,,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,coconut
,2.0,,,,,,2.0,,,,,,,,,,2.0,,,2.0,2.0,,,,2.0,,,,,,,2.0,,,,2.0,,,,,,2.0,,,2.0,,,,2.0,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,Weighted Blanket
,0.0,,,,,,0.0,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,0.0,,2.0,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,Superlong nap
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,read science book
,,,,2.0,,0.0,,,0.0,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,had sex 
,,,,2.0,,0.0,,,0.0,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,blowjob
0.0,0.0,0.0,,,0.0,,0.0,0.0,,2.0,,2.0,0.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.486319189629,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0268279758294,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,2.0,0.0,0.0,2.0,0.0,,,,,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,0.0,0.0,,0.0120117528196,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,listen to music 
0.0,,0.0,,,0.0,,,0.0,,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,2.0,0.0,2.0,,0.0,,,,,,0.0,,0.0,0.0,2.0,2.0,0.0,,,0.0,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,heating pads
0.0,,0.0,,,0.0,,,0.0,,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,2.0,0.0,2.0,,0.0,,,,,,0.0,0.0,,0.0,2.0,2.0,0.0,,,0.0,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,Norco
