didn't really eat lunch,Slept,wear mask,Naproxen,Ambien CR,Miralax low dose at night,ate breakfast,afternoon coffee,busy,family,good breakfast,excerise,met a new cat,sugar,Plaquenil,woke up late,Gravol,rice,Vitamin b complex,L-theanine,coffee,haircut,Mt. Si ACDC 2x Coco Caps,butternut squash risotto,Better sleep,green tea,THC,Famotidine,playing music,Swimming,Allegra,Flexeril,Slept a lot,Physical therapy,lifted weights,Fish oil,ate potato,no caffeine,Rest,daytime nap,cuddled kitten,Post-op ice device,light breakfast,AOR Zinc-Copper Balance,cocodamol,masturbated,drank a lot,Dancing,bed day,Aleve,3 drinks,made challah,fast food,very little sleep,Claritin,Strattera,no sleep,Zofran,Hydroxyzine,meds,ate peppers,creative writing,Low-FODMAP diet,worked out,exercise,snuggly cat,Buffered Salmon Oil - DHA - EPA,Slept well,Tetralabs Gold Caps CBN,Off work,sugar yesterday,Woke Up With Alarm,Superlong nap,Vitamin C,listen to music ,Tavegyl,Sisu B Calm,Breakfast,Klonopin,Medication,CBD,healthy dinner,studied,Coffee with sugar and cream,drank wine,Vitamin b12,bed late,beans,Vitamin d,Ice pack,Late lunch,Onions,massage,napped well,no breakfast,hiking,More stretching,physical therapy,short nap,shopped,had sex,Lying flat,ate cooked nightshades,Biosil,vacation,Therapy,dairy,slept late,Work,Oxynorm,shopping,gluten,Trigger Points,ate eggs,coursera,>50 oz water,Deep rest,slept in,Sunlight,worked,Thyroid-Pro (CanPrev),Slept during day,salad,didn't eat breakfast,stool softener,ate potato chips,Zinc,Tylenol,Melatonin,Wear shoulder brace,coconut,Alcohol,Migraine Diet,allergy shot,marijuana,Provigil,honey,prayer,drank alcohol,Magnesium glycinate,5-htp,colofac mr,Nasonex,B12 timed release,eye ointment,gluten free,Fruit,Exercise--walking,no lunch,Zopiclone,dairy free,ate dairy,party,Tetralabs Gold Caps,beach,gaming,Protecting back,strapping of shoulder,Astelin,exercised,mass transit,heating pads,Norco,Adderall,heavy physcial exertion,Freezie wrap,Singulair,drive,walked,cooked,Sleep,long walk,drawing,l-theanine,row
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopped
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,had sex
,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,2.0,,2.0,2.0,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,2.0,,,2.0,,,,0.0,0.0,,,,,,,,,2.0,,,,2.0,,,2.0,,,,,,,,2.0,,,,2.0,,,,2.0,,,2.0,2.0,,0.0,,2.0,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,2.0,,,,,,,0.0,,,,,0.0,,2.0,,,,0.0,,,,2.0,0.0,0.0,,2.0,0.0,,,2.0,,,,0.0,,Lying flat
,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,2.0,2.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,ate cooked nightshades
,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,0.0,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Biosil
,,,,2.0,2.0,0.0,,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,0.0,,,0.0,,,,2.0,2.0,,,,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,0.0,0.0,2.0,,0.0,,,2.0,,,,,2.0,,,2.0,,,,,,,,,,,,,2.0,,,,,,,2.0,0.0,,,2.0,0.0,,,,0.0,,,,,,,2.0,,,,,2.0,,0.0,,,,2.0,,,,0.0,2.0,2.0,,0.0,2.0,,,0.0,,,,2.0,,vacation
,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,2.0,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy
0.0,,,,,,1.99119653194,,0.0,,0.0,,,,,0.0,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,0.0,,,,2.0,,,,,,,,,,,2.0,,2.0,2.0,,,,,,,,,2.0,,,0.0,,,0.0,0.0,,,0.0,,,2.0,,,,,0.0,2.0,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,dairy
0.0,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,slept late
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Work
,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,2.0,,2.0,2.0,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,2.0,,,2.0,,,,0.0,0.0,,,,,,,,,2.0,,,,2.0,,,2.0,,,,,,,,2.0,,,,2.0,,,,2.0,,,2.0,2.0,,0.0,,2.0,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,2.0,,,,,,,0.0,,,,,0.0,,2.0,,,,0.0,,,,2.0,0.0,0.0,,2.0,0.0,,,2.0,,,,0.0,,Oxynorm
,,,,,,2.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,shopping
0.0,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,gluten
,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,2.0,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Trigger Points
,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,0.0,,0.0,0.0,,,,,2.0,,,,,,,2.0,,,,,,,,,,,0.0,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,2.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,0.0,0.0,,,,,,ate eggs
,,,,,,2.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,coursera
,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,0.0,0.0,,,,,2.0,,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,>50 oz water
,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,0.0,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Deep rest
,,,,,,0.0,,2.0,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,0.0,,,,,2.0,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,2.0,,,0.0,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,0.0,2.0,,,,,slept in
,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,2.0,2.0,,,2.0,,,,,2.0,,,2.0,,,2.0,,,,,,,,,,,,,2.0,2.0,,2.0,2.0,2.0,,,,,,,,,,,,,,2.0,,,,,2.0,,2.0,,,,,2.0,,,2.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,2.0,,,2.0,,,,,,,,2.0,2.0,,2.0,,2.0,,,,,,,,,,,,,2.0,2.0,,,2.0,2.0,,,,2.0,,,,,,,,Sunlight
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,worked
,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,2.0,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Thyroid-Pro (CanPrev)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slept during day
,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,salad
2.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,2.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,didn't eat breakfast
,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,,,,stool softener
,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,2.0,2.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,ate potato chips
,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,,,,Zinc
,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,Tylenol
,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,,,,Melatonin
,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,2.0,,2.0,2.0,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,2.0,,,2.0,,,,0.0,0.0,,,,,,,,,2.0,,,,2.0,,,2.0,,,,,,,,2.0,,,,2.0,,,,2.0,,,2.0,2.0,,0.0,,2.0,,,0.0,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,0.0,,,,,0.0,,2.0,,,,0.0,,,,2.0,0.0,0.0,,2.0,0.0,,,2.0,,,,0.0,,Wear shoulder brace
,,,,2.0,2.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,0.0,,,0.0,,,,2.0,2.0,,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,0.0,,2.0,,0.0,,,2.0,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,0.0,,,,,,,2.0,,,,,2.0,,0.0,,,,2.0,,,,0.0,2.0,2.0,,0.0,2.0,,,0.0,,,,2.0,,coconut
,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,,,,Alcohol
,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Migraine Diet
,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,allergy shot
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marijuana
,,,,,,,0.0,,,,,,,3.33066907388e-16,,,,,,,,,,,0.0,,,,,,,,,,,2.0,2.0,,,,,0.0,,,,,,,2.22044604925e-16,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.0,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22044604925e-16,,,,2.0,,,,,,,Provigil
,,,,,,,,,,,0.0,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,honey
,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,0.0,,,,,,,2.0,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,prayer
,,,,2.0,2.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,0.0,,,0.0,,,,2.0,2.0,,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,0.0,,2.0,,0.0,,,2.0,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,2.0,,,,,2.0,,0.0,,,,2.0,,,,0.0,2.0,2.0,,0.0,2.0,,,0.0,,,,2.0,,drank alcohol
,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,,,,Magnesium glycinate
,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,,,,5-htp
,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,colofac mr
,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,,,,Nasonex
,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,2.0,,,,,,,0.0,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,B12 timed release
,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,,,,eye ointment
,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,2.0,,2.0,2.0,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,2.0,,,2.0,,,,0.0,0.0,,,,,,,,,2.0,,,,2.0,,,2.0,,,,,,,,2.0,,,,2.0,,,,2.0,,,2.0,2.0,,0.0,,2.0,,,0.0,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,2.0,,,,,,,,,,,,0.0,,2.0,,,,0.0,,,,2.0,0.0,0.0,,2.0,0.0,,,2.0,,,,0.0,,gluten free
,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fruit
,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,2.0,,,,,,,0.0,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exercise--walking
0.0,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,no lunch
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zopiclone
,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,2.0,,2.0,2.0,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,2.0,,,2.0,,,,0.0,0.0,,,,,,,,,2.0,,,,2.0,,,2.0,,,,,,,,2.0,,,,2.0,,,,2.0,,,2.0,2.0,,0.0,,2.0,,,0.0,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,2.0,,,,,,,0.0,,,,,,,2.0,,,,0.0,,,,2.0,0.0,0.0,,2.0,0.0,,,2.0,,,,0.0,,dairy free
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,ate dairy
