Diazepam,Ex bike,Ranitidine,Acetyl Carnitine,Lithium,Sunlight,Albuterol Inhaler,Naproxen,Acetaminophen,Amitriptyline,birth control,Magnesium glycinate,Melatonin,N-Acelcysteine,5-htp,Nasonex,Claritin,pilates,Strattera,Creatine,Clonazepam,Ecural,Magnesium gel,Daily walk,Excedrin,Diclofenac,Famotidine,Turmeric,Vitamin b complex,Multi vitamin,Topical ibuprofen,Ligament Restore,Wore arch supports all day,Standing desk,therapy session,Stretching,Astelin,SAD Light Box,Calcium citrate,Vitamin C,antihistamines,Physiotherapy,Vitamin D3,Steps,Magnesium,5 or more portions of fruit and veg,Panamax,THC,cocodamol,Prednisone,Allegra,Klonopin,Cetirizine,Singulair,Benadryl,Fish oil,Ibuprofen 600mg,cough syrup,Tizanidine,Rest,CoQ10,Cranberry extract,Vitamin b12,Sleep,Post-op ice device,Zinc,Vitamin d,Soluble Aspirin,Meditation,Nortriptyline,massage,linseed,row
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Vitamin D3
0.0,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,0.0,,,,Steps
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnesium
0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,5 or more portions of fruit and veg
,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,Panamax
,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,0.0,,,,,,THC
0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,cocodamol
,,,0.0,0.198849354101,,,,,,,,,0.0,,,,,,0.207813063833,0.209919263559,0.0,0.0,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,0.0,,0.217732552885,,0.0,Prednisone
,,,,,0.0,,,,,0.0,0.0286009935033,0.0286009935033,,0.0286009935033,0.0286009935033,0.0286009935033,,2.22044604925e-16,,,,,,,,0.0286009935033,,0.0286009935033,,,,,,0.0,,0.0286009935033,,,0.0286009935033,,,,,,,,0.0,,,,1.11022302463e-16,,0.0286009935033,,0.0194193243089,,,,,0.0,,0.0194193243089,,0.0,0.0286009935033,0.0286009935033,,,,,,Allegra
,,,,,0.0,,,,,0.0,0.0286009935033,0.0286009935033,,0.0286009935033,0.0286009935033,0.0286009935033,,1.11022302463e-16,,,,,,,,0.0286009935033,,0.0286009935033,,,,,,0.0,,0.0286009935033,,,0.0286009935033,,,,,,,,0.0,,,1.11022302463e-16,,,0.0286009935033,,0.0194193243089,,,,,0.0,,0.0194193243089,,0.0,0.0286009935033,0.0286009935033,,,,,,Klonopin
,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,Cetirizine
,,,,,0.0,,,,,0.0,-2.22044604925e-16,-2.22044604925e-16,,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,,0.0286009935033,,,,,,,,-2.22044604925e-16,,-2.22044604925e-16,,,,,,0.0,,-2.22044604925e-16,,,-2.22044604925e-16,,,,,,,,0.0,,,0.0286009935033,0.0286009935033,,,,0.00089652346299,,,,,0.0,,0.00089652346299,,0.0,-2.22044604925e-16,-2.22044604925e-16,,,,,,Singulair
,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,Benadryl
,,,,,0.0,,,,,0.0,0.00089652346299,0.00089652346299,,0.00089652346299,0.00089652346299,0.00089652346299,,0.0194193243089,,,,,,,,0.00089652346299,,0.00089652346299,,,,,,0.0,,0.00089652346299,,,0.00089652346299,,,,,,,,0.0,,,0.0194193243089,0.0194193243089,,0.00089652346299,,,,,,,0.0,,0.0,,0.0,0.00089652346299,0.00089652346299,,,,,,Fish oil
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen 600mg
0.0,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,,cough syrup
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tizanidine
0.0,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,Rest
,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,0.0,,,0.0,0.0,,,,,,CoQ10
0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,Cranberry extract
,,,,,0.0,,,,,0.0,0.00089652346299,0.00089652346299,,0.00089652346299,0.00089652346299,0.00089652346299,,0.0194193243089,,,,,,,,0.00089652346299,,0.00089652346299,,,,,,0.0,,0.00089652346299,,,0.00089652346299,,,,,,,,0.0,,,0.0194193243089,0.0194193243089,,0.00089652346299,,0.0,,,,,0.0,,,,0.0,0.00089652346299,0.00089652346299,,,,,,Vitamin b12
0.0,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,Sleep
,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,0.0,,0.0,,0.0,,,,,,,0.0,,,0.0,0.0,,,,,,Post-op ice device
,,,,,0.0,,,,,0.0,-2.22044604925e-16,-2.22044604925e-16,,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,,0.0286009935033,,,,,,,,-2.22044604925e-16,,-2.22044604925e-16,,,,,,0.0,,-2.22044604925e-16,,,-2.22044604925e-16,,,,,,,,0.0,,,0.0286009935033,0.0286009935033,,-2.22044604925e-16,,0.00089652346299,,,,,0.0,,0.00089652346299,,0.0,,-2.22044604925e-16,,,,,,Zinc
,,0.0,,2.0,0.0,0.0,,,,0.0,-2.22044604925e-16,-2.22044604925e-16,,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,,0.0286009935033,2.0,2.0,2.0,2.0,,,,-2.22044604925e-16,0.0,-2.22044604925e-16,,,,,2.0,0.0,,-2.22044604925e-16,,0.0,0.0412219155492,,2.0,,,,,,0.0,,2.0,0.0286009935033,0.0286009935033,0.0,-2.22044604925e-16,0.0,0.00089652346299,,,,,0.0,,0.00089652346299,,0.0,-2.22044604925e-16,,,,2.0,,2.0,Vitamin d
,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,Soluble Aspirin
0.0138548229568,0.0,,,,,,0.0181941868852,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,Meditation
,,,0.0,0.000477922656875,,,,,,,,,0.0,,,,,,0.0001293893449,7.99248434734e-05,0.0,0.0,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,0.0,,,0.217732552885,,,,,,,,,,,,,,,,,2.0,0.0,,,,0.0,Nortriptyline
,,,,,,,,,2.22044604925e-16,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,1.11022302463e-16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,massage
,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,2.0,,,0.0,,,linseed
