Ritalin,hiking,BeachBody OnDemand,physical therapy,snuggles,Cyclizine,Dehydrated,Florinef,slept not alone,had sex last night,singing,ate breakfast,Solifenacin,Darifenacin,Probiotic,Medical Marijuana,digestive enzyme,travel,Ribose,Monteluklast,slept lots,Socialising,Ate too late,Feverfew,Carbomer eye drops,woke up late,alverine,dairy,holiday,Friends,Piyo,exercise,A little stressed,shopping,SAM-E,very active aqua class,Superlong nap,Cider,TigerBalm,went to bed too late,busy,scary new shit,Social,worked,day at home,Cetraben cream,Much sex,Cinema,Guarana & Ginseng,Ginger,Work hard,Hydrocortisone,Vitamin b12,walked,Cerelle,Passionflower,Singing,row
2.0,2.0,0.0,0.0,2.0,0.0,,0.0,,,,2.0,0.0,,0.0,,0.0,,,,,,,0.0,,2.0,,2.0,,,0.0,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,,,,,,,,,,0.0,0.0,,,0.0,,day at home
0.0,,,,,0.0,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,,2.0,,2.0,0.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,Cetraben cream
2.0,,,,,2.0,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,,0.0,,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,Much sex
0.0,,,,,0.0,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,,2.0,,2.0,0.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,Cinema
0.0,,,,,0.0,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,,2.0,,2.0,0.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,Guarana & Ginseng
0.0,,,,,0.0,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,,2.0,,2.0,0.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,0.0,0.0,0.0,0.0,2.0,Ginger
2.0,,,,,2.0,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,,0.0,,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,0.0,Work hard
2.0,2.0,0.0,0.0,2.0,0.0,,0.0,,,,2.0,0.0,,0.0,,0.0,,,,,,,0.0,,2.0,,2.0,,,0.0,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,,,0.0,,,,,,,,0.0,,,0.0,,Hydrocortisone
0.091370417447,2.0,0.0,0.0,2.0,0.161064050956,2.0,0.0,2.0,2.0,0.0,1.67845660651,0.185887440803,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.000514906036563,0.0,2.0,0.0,1.96361024933,0.0,2.0,0.0,2.0,2.0,1.89609469614,0.0,0.0,2.0,2.0,0.0,2.0,1.62633617548,1.90384813467,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,2.0,Vitamin b12
0.0,,,,,0.0,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,,2.0,,2.0,0.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,0.0,2.0,,0.0,,0.0,0.0,2.0,walked
0.0,,,,,0.0,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,,2.0,,2.0,0.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,0.0,2.0,,0.0,0.0,,0.0,2.0,Cerelle
0.091370417447,2.0,0.0,0.0,2.0,0.161064050956,2.0,0.0,2.0,2.0,0.0,1.67845660651,0.185887440803,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.000514906036563,0.0,2.0,0.0,1.96361024933,0.0,2.0,0.0,2.0,2.0,1.89609469614,0.0,0.0,2.0,2.0,0.0,2.0,1.62633617548,1.90384813467,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,2.0,Passionflower
2.0,,,,,2.0,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,,0.0,,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,,Singing
